Database Name	CLS ODA
Database Location	http://operetta-cls.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	8d7e79c9-eb4a-4cf4-a8bf-b2ad302dd2ee
Plate Name	P105274
Measurement	Measurement 3
Evaluation	Evaluation2

[Data]
Row	Column	Plane	Timepoint	number of cells	spot area per cell	Number of Spots per Area of Cell - Mean per Well	sum spot intensity per cell	Spots - Intensity Spot CellMask Green Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
15	17	1	1	110	582,727272727	0,00904442077788	59659,6032846	6562556,3613	4	0	0					
16	17	1	1	563	151,465364121	0,00414095801418	14502,3361199	8164815,23551	4	0	0					
16	18	1	1	774	9,44315245478	0,000120399404457	533,97760032	413298,662648	4	0	0					
15	18	1	1	655	8,56335877863	0,000117551662558	522,032686547	341931,409689	4	0	0					
14	18	1	1	567	5,569664903	0,000105978118365	395,135976061	224042,098427	4	0	0					
13	18	1	1	756	18,126984127	0,000482133853294	1415,71033868	1070277,01605	4	0	0					
12	18	1	1	663	45,4660633484	0,00132377908122	4312,0352114	2858879,34516	4	0	0					
11	18	1	1	373	343,756032172	0,00746064812202	31051,4355039	11582185,443	4	0	0					
10	18	1	1	965	6,69637305699	0,000137681863029	393,320772191	379554,545164	4	0	0					
9	18	1	1	654	10,2110091743	0,000148153261701	546,08193326	357137,584352	4	0	0					
8	18	1	1	810	9,57530864198	0,000187645098148	595,160259096	482079,809867	4	0	0					
7	18	1	1	705	12,9191489362	0,00036522073188	960,547984965	677186,3294	4	0	0					
6	18	1	1	653	51,4670750383	0,00132837506053	4810,58275084	3141310,5363	4	0	0					
5	18	1	1	487	272,780287474	0,00630868383277	22691,5458184	11050782,8136	4	0	0					
4	18	1	1	794	10,2267002519	0,000228793604413	710,280552981	563962,759067	4	0	0					
3	18	1	1	936	9,62606837607	0,000149822014845	452,678866515	423707,419058	4	0	0					
2	18	1	1	911	9,96706915477	0,000227893226338	709,586480286	646433,28354	4	0	0					
1	18	1	1	700	62,7914285714	0,00195711399179	6268,34415315	4387840,9072	4	0	0					
1	19	1	1	22	70,9090909091	0,00154414712002	3046,10545444	67014,3199977	4	0	0					
2	19	1	1	647	276,768160742	0,00758961920585	28223,5216283	18260618,4935	4	0	0					
3	19	1	1	873	110,979381443	0,00360946842914	11121,7396279	9709278,69518	4	0	0					
4	19	1	1	845	20,6224852071	0,000547392943188	1674,2828768	1414769,0309	4	0	0					
5	19	1	1	731	10,1285909713	0,000137664790538	543,593681527	397366,981196	4	0	0					
6	19	1	1	712	7,45084269663	0,000124000902381	401,473758867	285849,316313	4	0	0					
7	19	1	1	49	52,7551020408	0,00106388888897	2038,19392954	99871,5025473	4	0	0					
8	19	1	1	818	208,085574572	0,0061679753965	21638,425302	17700231,897	4	0	0					
9	19	1	1	705	188,397163121	0,0047852901777	18859,9588195	13296270,9677	4	0	0					
10	19	1	1	772	15,896373057	0,000428492135779	1348,62662902	1041139,75761	4	0	0					
11	19	1	1	713	14,553997195	0,000227972557025	975,930551761	695838,483406	4	0	0					
12	19	1	1	691	7,5513748191	0,000148938596219	542,624474779	374953,512072	4	0	0					
13	19	1	1	20	66,9	0,00133924813126	1725,5529449	34511,058898	4	0	0					
14	19	1	1	317	383,652996845	0,00907617418315	35699,4893769	11316738,1325	4	0	0					
15	19	1	1	509	145,166994106	0,00428107208874	13265,1197704	6751945,96313	4	0	0					
16	19	1	1	621	116,288244767	0,00360079627279	12161,6712139	7552397,82386	4	0	0					
16	20	1	1	517	275,201160542	0,00600574363821	30012,9925029	15516717,124	4	0	0					
15	20	1	1	442	437,986425339	0,0097257109757	55692,3698807	24616027,4873	4	0	0					
14	20	1	1	777	7,59459459459	0,00014500376537	493,913042486	383770,434012	4	0	0					
13	20	1	1	590	6,28813559322	0,000118063922362	445,518961046	262856,187017	4	0	0					
12	20	1	1	754	17,0517241379	0,000508715053629	1433,87161637	1081139,19874	4	0	0					
11	20	1	1	611	98,1292962357	0,00326705508023	9516,05597978	5814310,20365	4	0	0					
10	20	1	1	538	177,639405204	0,00400696856475	14449,9896862	7774094,45117	4	0	0					
9	20	1	1	363	494,856749311	0,00983082756901	60544,0314851	21977483,4291	4	0	0					
8	20	1	1	775	8,67096774194	0,000141241045926	535,688349245	415158,470665	4	0	0					
7	20	1	1	704	10,5852272727	0,000161129444967	573,583972881	403803,116908	4	0	0					
6	20	1	1	976	55,7725409836	0,00198690848805	4737,79076433	4624083,78599	4	0	0					
5	20	1	1	576	205,269097222	0,00591551592349	17584,5662775	10128710,1758	4	0	0					
4	20	1	1	587	321,083475298	0,00870274883747	31931,2630362	18743651,4023	4	0	0					
3	20	1	1	38	53,2631578947	0,00151975853384	2168,02328453	82384,884812	4	0	0					
2	20	1	1	862	6,48259860789	0,000104974614026	395,502009643	340922,732313	4	0	0					
1	20	1	1	801	16,329588015	0,000212036180485	969,754053767	776772,997067	4	0	0					
1	21	1	1	720	82,5902777778	0,00274100556233	9148,41022771	6586855,36395	4	0	0					
2	21	1	1	817	15,8286413709	0,000311893964381	1173,62667598	958852,994276	4	0	0					
3	21	1	1	640	11,175	0,000220952339043	739,59597373	473341,423187	4	0	0					
4	21	1	1	695	7,64316546763	0,000146133567017	533,059699095	370476,490871	4	0	0					
5	21	1	1	92	176,336956522	0,00170703821024	2963,89411437	272678,258522	4	0	0					
6	21	1	1	843	14,0889679715	0,000465514000227	1220,76779879	1029107,25438	4	0	0					
7	21	1	1	732	9,13524590164	0,000177012708875	624,05552203	456808,642126	4	0	0					
8	21	1	1	835	9,93413173653	0,000212848451878	717,721850202	599297,744919	4	0	0					
9	21	1	1	859	5,57741559953	0,000102568791919	342,58545947	294280,909684	4	0	0					
10	21	1	1	777	6,18146718147	0,000101258460128	357,367111666	277674,245765	4	0	0					
11	21	1	1	73	214,479452055	0,0022523098323	3830,69276109	279640,571559	4	0	0					
12	21	1	1	623	13,9871589085	0,000414459904202	1181,75776961	736235,090467	4	0	0					
13	21	1	1	769	9,61248374512	0,000262465660231	756,552025838	581788,50787	4	0	0					
14	21	1	1	578	8,96020761246	0,000180651232166	584,111855388	337616,652414	4	0	0					
15	21	1	1	705	6,70070921986	0,000114330984524	381,870758686	269218,884873	4	0	0					
16	21	1	1	772	12,0803108808	0,000155343263305	682,485282875	526878,63838	4	0	0					
16	22	1	1	594	20,67003367	0,000568859219478	2056,86764979	1221779,38397	4	0	0					
15	22	1	1	603	59,4311774461	0,00165848698297	5651,7522855	3408006,62816	4	0	0					
14	22	1	1	519	130,895953757	0,00315438319705	10099,1519564	5241459,86536	4	0	0					
13	22	1	1	16	90	0,00185129566125	2774,43848919	44391,015827	4	0	0					
12	22	1	1	659	7,76783004552	0,000119449414414	426,802121701	281262,598201	4	0	0					
11	22	1	1	613	6,955954323	8,47897767103E-05	365,189024994	223860,872321	4	0	0					
10	22	1	1	774	6,60723514212	0,0001302359653	433,852171141	335801,580463	4	0	0					
9	22	1	1	618	16,2702265372	0,000445920393352	1385,72618404	856378,781736	4	0	0					
8	22	1	1	697	23,2381635581	0,000606825146233	2021,75227493	1409161,33562	4	0	0					
7	22	1	1	448	175,625	0,0044814103162	14011,9444793	6277351,12671	4	0	0					
6	22	1	1	824	6,81917475728	9,54171251596E-05	389,388906633	320856,459066	4	0	0					
5	22	1	1	758	7,3073878628	0,000100300655583	415,19448303	314717,418137	4	0	0					
4	22	1	1	831	6,93261131167	0,000145323746005	458,538312999	381045,338102	4	0	0					
3	22	1	1	637	40,748822606	0,00109935665528	3626,10901566	2309831,44297	4	0	0					
2	22	1	1	641	23,9641185647	0,00055696470734	1966,74827899	1260685,64683	4	0	0					
1	22	1	1	391	175,94629156	0,0043067253428	14931,7845818	5838327,77148	4	0	0					
1	23	1	1	983	176,326551373	0,00495538249059	20437,9187911	20090474,1717	4	0	0					
2	23	1	1	752	6,54521276596	0,000119760328066	493,95509159	371454,228876	4	0	0					
3	23	1	1	843	9,20166073547	0,000137777008348	553,884149509	466924,338036	4	0	0					
4	23	1	1	839	6,89988081049	0,000137742858596	471,786109294	395828,545698	4	0	0					
5	23	1	1	767	167,659713168	0,00436057705416	16859,1308114	12930953,3324	4	0	0					
6	23	1	1	754	318,795755968	0,00650106947442	33031,7665843	24905952,0045	4	0	0					
7	23	1	1	776	312,041237113	0,00682006900339	34892,6373962	27076686,6194	4	0	0					
8	23	1	1	842	5,83491686461	0,000147378647756	464,422979836	391044,149022	4	0	0					
9	23	1	1	804	183,184079602	0,00459343360238	18236,4902698	14662138,1769	4	0	0					
10	23	1	1	785	9,24203821656	0,000168979689861	620,640981012	487203,170094	4	0	0					
11	23	1	1	704	8,12215909091	0,00013448694545	513,983798683	361844,594273	4	0	0					
12	23	1	1	806	7,65632754342	0,000132503294853	505,767449489	407648,564288	4	0	0					
13	23	1	1	650	181,670769231	0,00439821819477	18208,2811507	11835382,7479	4	0	0					
14	23	1	1	792	304,882575758	0,00715921321255	35495,2191838	28112213,5936	4	0	0					
15	23	1	1	783	269,558109834	0,00638192666511	28815,3893763	22562449,8816	4	0	0					
16	23	1	1	776	9,96391752577	0,000184929008974	697,306896031	541110,15132	4	0	0					
16	24	1	1	691	9,41389290883	0,000126910921169	684,96148077	473308,383212	4	0	0					
15	24	1	1	773	9,66494178525	0,000128194935138	578,972180563	447545,495575	4	0	0					
14	24	1	1	818	219,751833741	0,00535377044326	24278,6777252	19859958,3792	4	0	0					
13	24	1	1	653	306,95712098	0,00794587680852	36701,5414588	23966106,5726	4	0	0					
12	24	1	1	721	331,180305132	0,00685330169344	38317,8618956	27627178,4267	4	0	0					
11	24	1	1	801	250,662921348	0,00632071755203	27617,6609433	22121746,4155	4	0	0					
10	24	1	1	754	8,29310344828	0,000113755285598	582,397109744	439127,420747	4	0	0					
9	24	1	1	733	9,7517053206	0,000170124666197	715,766818394	524657,077883	4	0	0					
8	24	1	1	746	10,5764075067	0,000132057795601	614,019770868	458058,749067	4	0	0					
7	24	1	1	914	198,526258206	0,00527276095369	20549,7251715	18782448,8068	4	0	0					
6	24	1	1	726	11,5674931129	0,000197209921645	770,297896975	559236,273204	4	0	0					
5	24	1	1	694	333,55907781	0,0070368339929	38962,687304	27040104,989	4	0	0					
4	24	1	1	753	329,316069057	0,0076472850484	40237,4260706	30298781,8312	4	0	0					
3	24	1	1	891	198,459034792	0,00604262526445	22584,3664863	20122670,5393	4	0	0					
2	24	1	1	966	10,0527950311	0,000133211563628	582,365924959	562565,48351	4	0	0					
1	24	1	1	939	14,9595314164	0,000182181630168	1017,53669283	955466,954567	4	0	0					
