Row	Column	Plane	Timepoint	Sequence	Group	Field	Channel ID	Channel Name	Channel Type	URL	ImageResolutionX [m]	ImageResolutionY [m]	ImageSizeX	ImageSizeY	PositionX [m]	PositionY [m]	Time Stamp	
1	2	1	1	1	1	2	2	DAPI	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/9-1314-213-145-8-112-41-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	-0,000640846	0,000640846	2024-05-23T18:19:38,314+02:00	
1	2	1	1	1	1	2	3	CellMask Deep Red	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/9-1314-213-145-8-112-40-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	-0,000640846	0,000640846	2024-05-23T18:19:38,532+02:00	
1	2	1	1	1	1	3	1	CellMask Green	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/8-1314-213-145-8-112-42-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	0	0,000640846	2024-05-23T18:19:39,164+02:00	
1	2	1	1	1	1	3	2	DAPI	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/8-1314-213-145-8-112-41-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	0	0,000640846	2024-05-23T18:19:39,482+02:00	
1	2	1	1	1	1	3	3	CellMask Deep Red	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/8-1314-213-145-8-112-40-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	0	0,000640846	2024-05-23T18:19:39,701+02:00	
1	2	1	1	1	1	4	1	CellMask Green	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/15-1314-213-145-8-112-42-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	-0,000640846	0	2024-05-23T18:19:40,335+02:00	
1	2	1	1	1	1	4	2	DAPI	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/15-1314-213-145-8-112-41-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	-0,000640846	0	2024-05-23T18:19:40,654+02:00	
1	2	1	1	1	1	4	3	CellMask Deep Red	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/15-1314-213-145-8-112-40-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	-0,000640846	0	2024-05-23T18:19:40,873+02:00	
1	3	1	1	1	1	1	1	CellMask Green	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/10-1315-213-145-8-112-42-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	0	0	2024-05-23T18:19:41,647+02:00	
1	3	1	1	1	1	1	2	DAPI	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/10-1315-213-145-8-112-41-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	0	0	2024-05-23T18:19:41,965+02:00	
1	3	1	1	1	1	1	3	CellMask Deep Red	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/10-1315-213-145-8-112-40-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	0	0	2024-05-23T18:19:42,184+02:00	
1	3	1	1	1	1	2	1	CellMask Green	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/9-1315-213-145-8-112-42-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	-0,000640846	0,000640846	2024-05-23T18:19:42,785+02:00	
1	3	1	1	1	1	2	2	DAPI	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/9-1315-213-145-8-112-41-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	-0,000640846	0,000640846	2024-05-23T18:19:43,102+02:00	
1	3	1	1	1	1	2	3	CellMask Deep Red	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/9-1315-213-145-8-112-40-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	-0,000640846	0,000640846	2024-05-23T18:19:43,321+02:00	
1	3	1	1	1	1	3	1	CellMask Green	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/8-1315-213-145-8-112-42-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	0	0,000640846	2024-05-23T18:19:43,941+02:00	
1	3	1	1	1	1	3	2	DAPI	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/8-1315-213-145-8-112-41-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	0	0,000640846	2024-05-23T18:19:44,259+02:00	
1	3	1	1	1	1	3	3	CellMask Deep Red	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/8-1315-213-145-8-112-40-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	0	0,000640846	2024-05-23T18:19:44,477+02:00	
1	3	1	1	1	1	4	1	CellMask Green	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/15-1315-213-145-8-112-42-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	-0,000640846	0	2024-05-23T18:19:45,082+02:00	
1	3	1	1	1	1	4	2	DAPI	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/15-1315-213-145-8-112-41-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	-0,000640846	0	2024-05-23T18:19:45,404+02:00	
1	3	1	1	1	1	4	3	CellMask Deep Red	Fluorescence	http://operetta-cls.dyn.scilifelab.se/ODA/Images/C/b39dc80b-ce47-430e-9e2c-c0963f325ec1/15-1315-213-145-8-112-40-148.tiff	5,93376264949402E-07	5,93376264949402E-07	1080	1080	-0,000640846	0	2024-05-23T18:19:45,622+02:00	
