Well,Plane,Timepoint,Cell Selected - Number of Objects,Cell Selected - Total Spot Area - Mean per Well,Cell Selected - Number of Spots - Mean per Well,Cell Selected - Relative Spot Intensity - Mean per Well,Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well,Cell Selected - Intensity Cytoplasm Mean - Mean per Well,Spots Selected - Number of Objects,Spots Selected - Relative Spot  Intensity - Mean per Well,Spots Selected - Corrected Spot  Intensity - Mean per Well,Spots Selected - Spot Area [px²] - Mean per Well,Spots Selected - Intensity Spot Mean - Mean per Well,Number of Analyzed Fields,Height [µm],Time [s],Compound,Concentration,Cell Type,Cell Count,
A01,1,0,2587,84.003092385,3.34054889834,0.029193977712,0.00490719917556,2442.06686387,9345,0.134234608821,574.468289262,25.2814339219,4019.76795174,4,0,0,,,,,
A02,1,0,2508,13.5893141946,0.362041467305,0.00397169196493,0.000450750782136,1116.71276296,1002,0.130324119716,305.666863494,37.6666666667,2025.71415138,4,0,0,,,,,
A03,1,0,2418,16.7559966915,0.511166253102,0.00518196690548,0.000669466354913,1132.04515929,1312,0.120909530061,284.158034259,32.9885670732,2092.63327053,4,0,0,,,,,
A04,1,0,2380,50.475210084,1.57941176471,0.0204426933741,0.00248879542041,1327.79711541,4045,0.133363110189,381.023684208,32.0613102596,2599.68954219,4,0,0,,,,,
A05,1,0,2239,18.0928986155,0.56543099598,0.00618540389936,0.000705058374502,1152.43253852,1385,0.12944990268,353.998231084,32.2801444043,2375.09290622,4,0,0,,,,,
A06,1,0,2202,11.5649409628,0.362397820163,0.00410533220712,0.000446192436585,1092.23878306,889,0.132105991923,361.47203394,32.3374578178,2259.83889924,4,0,0,,,,,
A07,1,0,1906,14.5136411333,0.35519412382,0.00419639919165,0.00035931271582,1158.53348009,792,0.132248447732,377.368555026,41.8648989899,2434.81871918,4,0,0,,,,,
A08,1,0,2462,9.5268074736,0.28716490658,0.00361279389354,0.000365100193552,1172.4752154,765,0.136679441403,402.882403061,33.308496732,2498.06626725,4,0,0,,,,,
A09,1,0,2325,11.9879569892,0.352688172043,0.00522539171093,0.000456947317167,1236.59235756,909,0.14138859998,491.28182509,34.401540154,2970.51703457,4,0,0,,,,,
A10,1,0,2255,15.2780487805,0.393348115299,0.00529881523309,0.000485130190963,1200.19099159,978,0.137137677638,420.404793648,39.2658486708,2615.66152043,4,0,0,,,,,
A11,1,0,2412,9.43615257048,0.282752902156,0.00438350206771,0.000373293332693,1166.51759691,759,0.142644468583,496.520641296,33.7246376812,2900.20093401,4,0,0,,,,,
A12,1,0,2262,8.94783377542,0.282051282051,0.00347811207223,0.000353652036447,1045.80396579,696,0.128612656098,363.063285411,32.2270114943,2250.12398018,4,0,0,,,,,
A13,1,0,2140,31.9939252336,1.10887850467,0.00951810449595,0.00139707569172,1167.05005846,2580,0.125235300997,297.305923038,29.2147286822,2106.59996339,4,0,0,,,,,
A14,1,0,2106,11.8100664767,0.37559354226,0.00436167974685,0.000444703979256,1093.78795616,870,0.132361171136,374.796032911,31.7367816092,2312.53881523,4,0,0,,,,,
A15,1,0,2334,8.98800342759,0.252784918595,0.00304617050164,0.000328480867676,1170.69620139,639,0.13049587051,356.900725311,36.034428795,2355.23671349,4,0,0,,,,,
A16,1,0,2260,18.8115044248,0.576991150442,0.00660337056422,0.000764603134432,1224.36486173,1387,0.129819279807,362.496609815,32.8795962509,2409.89159452,4,0,0,,,,,
A17,1,0,2138,9.58185219832,0.247427502339,0.00373601461645,0.000362473452125,1024.71520853,577,0.13464264598,366.491005298,39.5285961872,2286.30564965,4,0,0,,,,,
A18,1,0,2240,11.1464285714,0.295982142857,0.00419812111413,0.000377563415196,1133.30043636,744,0.139877514495,437.854728809,37.8212365591,2589.921625,4,0,0,,,,,
A19,1,0,2260,9.24424778761,0.263274336283,0.00399275148427,0.000347534962402,1095.47495654,649,0.138608589784,405.208745142,35.4298921418,2340.35111192,4,0,0,,,,,
A20,1,0,2515,10.2791252485,0.293836978131,0.00396824488336,0.000369078876677,975.594328193,802,0.135569618589,360.412533562,35.3516209476,2150.06732442,4,0,0,,,,,
A21,1,0,2097,16.1368621841,0.492131616595,0.00468895537722,0.000616464998765,1136.0990419,1104,0.119774373252,305.476332115,33.6829710145,2179.62686766,4,0,0,,,,,
A22,1,0,1591,20.7542426147,0.622250157134,0.00726368641036,0.00079515435852,1023.80452434,1094,0.130269513648,313.526967673,33.9744058501,1997.21863752,4,0,0,,,,,
A23,1,0,1920,126.1421875,5.77604166667,0.0579578908146,0.00824764188707,2119.57374046,11866,0.15417022451,644.903420098,22.0202258554,3885.82688048,4,0,0,,,,,
A24,1,0,2124,11.2763653484,0.25329566855,0.0040556325073,0.000307422749633,1297.34648894,593,0.138299452256,491.55958585,44.5969645868,2874.54124611,4,0,0,,,,,
B01,1,0,2228,116.518850987,4.81956912029,0.0529877216786,0.00717150406266,1800.44705201,11464,0.151174198495,530.645650454,24.4618806699,3263.9406611,4,0,0,,,,,
B02,1,0,2512,9.08200636943,0.271098726115,0.0035093170253,0.000346841390371,1090.16381991,730,0.133574365283,387.207178938,34.1520547945,2356.23836541,4,0,0,,,,,
B03,1,0,2463,9.56232237109,0.285018270402,0.00373606821991,0.000382716585269,1027.66957412,747,0.128106942511,375.114168323,33.5676037483,2346.2898532,4,0,0,,,,,
B04,1,0,2256,8.48625886525,0.22384751773,0.00293491214302,0.000268190080004,1075.32072213,537,0.129768384523,403.181856495,38.0819366853,2429.5114498,4,0,0,,,,,
B05,1,0,929,12.6523143165,0.258342303552,0.00648445691972,0.000344988587926,998.297902479,261,0.15514614424,518.839819598,49.1724137931,2755.77973136,4,0,0,,,,,
