Well	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
 A01	1	0	2361	78.0957221516	3.09656925032	0.0262141853615	0.00440535692186	1954.07579964	7953	0.133767237946	466.773574726	25.3460329435	3262.56675952	4	0	0					
 A02	1	0	2185	10.5391304348	0.278718535469	0.00405613422189	0.000331845347521	1536.86050365	644	0.140809706049	620.942983675	38.1071428571	3587.15135074	4	0	0					
 A03	1	0	2407	10.0369754882	0.299542999585	0.00277725807082	0.000360227310995	1127.569791	787	0.124736550675	278.931730054	33.7598475222	2033.57372798	4	0	0					
 A04	1	0	2317	20.8765645231	0.65774708675	0.00640398720974	0.000897359301089	1204.8838892	1614	0.121855431261	291.291357696	32.1579925651	2108.02197845	4	0	0					
 A05	1	0	2418	8.92307692308	0.25682382134	0.00291872834565	0.000343915729027	1112.51551898	665	0.125889132117	309.108566699	35.2210526316	2216.05563611	4	0	0					
 A06	1	0	2433	10.3082614057	0.257706535142	0.00309957638527	0.000318943847546	1077.69148843	677	0.120793443814	297.970980399	40.6277695716	2028.26469165	4	0	0					
 A07	1	0	2429	8.0946891725	0.226018937834	0.00241192066512	0.000281458046576	1034.32672687	596	0.121694487406	322.781065606	36.0033557047	2215.55319873	4	0	0					
 A08	1	0	2372	9.38996627319	0.239038785835	0.00307945345709	0.000314121548977	938.014110648	617	0.126113531888	282.33437711	39.9027552674	1895.47477714	4	0	0					
 A09	1	0	2460	9.91991869919	0.294715447154	0.00380893163803	0.000373251794573	1019.0475093	777	0.129437292728	438.409422648	34.3564993565	2860.72446364	4	0	0					
 A10	1	0	1541	36.3374432187	1.17456197274	0.0094975617826	0.00146010882401	1095.37008346	1945	0.118976848712	227.312890905	31.2827763496	1791.77824785	3	0	0					
 A11	1	0	2279	10.1917507679	0.278630978499	0.0034941073907	0.000343210638152	980.579746402	678	0.12779929547	342.406193341	36.9085545723	2153.17127598	4	0	0					
 A12	1	0	2335	8.78115631692	0.249678800857	0.00272460568682	0.000311136947784	917.80302297	635	0.120853478045	253.443292642	35.1196850394	1785.89833937	4	0	0					
 A13	1	0	2418	7.93217535153	0.239040529363	0.00271713982329	0.000296885382772	924.193370189	611	0.126612302963	303.51961858	33.5826513912	1984.41651078	4	0	0					
 A14	1	0	2349	4.55725840783	0.122605363985	0.00167705296269	0.000166824227754	918.795755483	321	0.131050593562	299.403814453	37.9127725857	1890.38940952	4	0	0					
 A15	1	0	2478	9.05690072639	0.238498789346	0.00260799707027	0.000295303171626	942.637572579	634	0.122200690349	258.19903809	38.5552050473	1853.96997675	4	0	0					
 A16	1	0	2460	8.49146341463	0.231300813008	0.00324431754594	0.000302240503285	1020.39355644	633	0.130682105283	390.878372577	37.1090047393	2437.41873533	4	0	0					
 A17	1	0	2413	62.60132615	2.42768338168	0.0205236551097	0.00332619750321	1222.76008287	6323	0.131689803712	311.968147608	26.0544045548	2174.27536063	4	0	0					
 A18	1	0	2376	8.67045454545	0.260942760943	0.00294175833892	0.000330364221863	978.040041323	670	0.124544036228	318.920022284	34.1014925373	2145.26434608	4	0	0					
 A19	1	0	2393	9.1312160468	0.279565399081	0.00321809463849	0.000363233967432	924.285251401	715	0.127840482143	293.275357356	32.7174825175	1985.05078895	4	0	0					
 A20	1	0	2255	8.79955654102	0.247450110865	0.00294564439317	0.000320942754129	927.820748079	604	0.121555032805	304.25814537	35.9635761589	1987.89164261	4	0	0					
 A21	1	0	2289	8.66491917868	0.243337702053	0.00286818404442	0.000310830008243	1050.95787991	610	0.1262973131	312.42041788	35.6245901639	2098.54700272	4	0	0					
 A22	1	0	2301	8.84398087788	0.251195132551	0.00319104141486	0.000319749491807	941.749117001	638	0.125960501876	328.259658351	35.0532915361	2053.39115945	4	0	0					
 A23	1	0	1931	131.061108234	6.21387881926	0.0628892838457	0.00917185426675	1838.67793616	12932	0.156053994157	561.818356056	21.3950665017	3366.31561521	4	0	0					
 A24	1	0	2205	9.58548752834	0.275283446712	0.00334322541437	0.000345279566678	1058.67243997	652	0.130486605799	398.749179128	34.7039877301	2494.12886203	4	0	0					
 B01	1	0	2248	121.078736655	5.08096085409	0.0585036895411	0.00759356145493	1799.54213332	12296	0.154694881874	544.339684341	24.0642485361	3277.46568295	4	0	0					
 B02	1	0	2396	8.54048414023	0.233305509182	0.0032603497013	0.000306870931699	983.762596968	617	0.129077148943	347.574544782	37.453808752	2228.39697704	4	0	0					
 B03	1	0	2340	9.17179487179	0.27094017094	0.00350418375277	0.000373362216966	1047.211535	693	0.128287501288	333.797213489	34.5151515152	2164.5321649	4	0	0					
 B04	1	0	2213	17.8418436512	0.547220967013	0.00617124291275	0.000755535826778	1015.47117724	1298	0.122013903018	301.08382179	32.8004622496	2155.23226239	4	0	0					
 B05	1	0	2390	7.04309623431	0.210878661088	0.00243945447822	0.000284141097542	953.589449325	556	0.121428922105	282.597525943	33.9244604317	1953.71505022	4	0	0					
 B06	1	0	2352	10.7049319728	0.281462585034	0.00375635250814	0.000385769781343	941.695968013	707	0.121892708264	294.187726413	37.9674681754	1962.55185471	4	0	0					
 B07	1	0	2311	8.6447425357	0.231501514496	0.00278239690037	0.000303592745491	960.604079111	581	0.126183723013	289.172760993	37.6247848537	1962.72140992	4	0	0					
 B08	1	0	1613	8.98326100434	0.231246125232	0.00317653228868	0.000304881785253	975.614798131	396	0.127683708872	307.204977614	39.0580808081	1980.62748003	3	0	0					
 B09	1	0	2351	9.3547426627	0.244151424926	0.0033798383834	0.000322614737484	1017.66750736	628	0.128246254013	355.894437406	38.7261146497	2298.8853235	4	0	0					
 B10	1	0	1880	4.92287234043	0.0585106382979	0.000941022452951	6.30226846973E-05	4755.20924556	131	0.125090386869	1215.31735645	84.3664122137	8494.33868881	4	0	0					
 B11	1	0	2208	8.04846014493	0.238224637681	0.0027751076164	0.000322397939812	938.233487862	571	0.127964953497	292.610957913	34.4098073555	1925.31458361	4	0	0					
 B12	1	0	2176	8.21920955882	0.252757352941	0.00279839871786	0.000339139878179	979.31444819	597	0.123529900685	294.178264428	33.0385259631	2011.00838691	4	0	0					
 B13	1	0	1669	12.7537447573	0.361893349311	0.00348050892762	0.000342847837017	1017.63847588	740	0.128532944532	301.998395093	37.6081081081	2015.03066692	4	0	0					
 B14	1	0	2228	9.58527827648	0.283662477558	0.00294406035729	0.000359296610968	969.579725631	696	0.123910469251	295.018749438	33.8620689655	2046.14490521	4	0	0					
 B15	1	0	2196	9.94763205829	0.279143897996	0.00340527464855	0.000361580216301	950.43672954	657	0.124455576737	289.767851772	35.4459665145	1998.14964907	4	0	0					
 B16	1	0	2262	8.17904509284	0.247126436782	0.00259622019968	0.000319762772307	960.958217817	598	0.124255005227	266.922348757	33.7842809365	1831.54942414	4	0	0					
 B17	1	0	2179	9.68425883433	0.289582377237	0.00308729027769	0.00039094533273	1050.02396629	680	0.123545750633	284.467777802	33.9470588235	1979.06762297	4	0	0					
 B18	1	0	2276	9.44903339192	0.281634446397	0.00424149202461	0.000375878398401	1035.35834366	692	0.134337397194	547.107819644	33.8815028902	3138.97934862	4	0	0					
 B19	1	0	2347	8.13677034512	0.239454622923	0.00284935439289	0.000317463756058	917.1668377	592	0.125789689724	284.60676189	33.9408783784	1875.67722419	4	0	0					
 B20	1	0	2439	8.89626896269	0.272242722427	0.0031531658937	0.000349399155885	1027.10403817	716	0.130194669917	356.935291012	32.6480446927	2249.59134061	4	0	0					
 B21	1	0	2353	8.15554611135	0.24776880578	0.00285373302481	0.000324803675331	955.877987712	629	0.123834014794	314.818429792	33.1001589825	2135.95597272	4	0	0					
 B22	1	0	2152	9.11059479554	0.297862453532	0.00337009144769	0.000379690418331	950.110956409	698	0.130877837131	328.24701597	31.223495702	2082.24531796	4	0	0					
 B23	1	0	2046	136.411534702	5.58015640274	0.0656398680028	0.00827311177875	1914.94467186	12346	0.154636282987	577.685457904	24.6843512069	3455.84832876	4	0	0					
 B24	1	0	2025	10.9990123457	0.286419753086	0.0042117900798	0.000343384302744	1066.05819187	637	0.136769068052	465.11098312	39.2433281005	2789.85232625	4	0	0					
 C01	1	0	2502	128.768185452	5.44804156675	0.0656129149628	0.00859684312619	2102.61291001	14555	0.154891116419	621.740043711	23.8122981793	3746.35376342	4	0	0					
 C02	1	0	2385	7.36645702306	0.230188679245	0.00250675446586	0.000308504015055	956.473055774	586	0.122742089452	277.595897997	32.9846416382	1903.46190984	4	0	0					
 C03	1	0	1036	14.8310810811	0.246138996139	0.0077096184358	0.000412826342836	921.783530018	276	0.150157080548	367.799776643	59.7391304348	2155.11765637	4	0	0					
 C04	1	0	2403	9.47565543071	0.276737411569	0.00339869692888	0.000353577119487	954.388478359	716	0.125874328171	316.753712794	34.1480446927	2077.16461963	4	0	0					
 C05	1	0	2257	8.87815684537	0.23526805494	0.00355776388123	0.000322961697188	1006.98157142	585	0.128591521419	417.518484431	38.4632478632	2576.43517815	4	0	0					
 C06	1	0	2407	9.6589115081	0.260074781886	0.00370445236056	0.00034395088009	1103.09927195	686	0.122770830526	368.225821889	37.4052478134	2339.54251486	4	0	0					
 C07	1	0	2154	9.51114206128	0.262766945218	0.00323880870378	0.000321079691304	1016.80100053	616	0.12841719074	375.192531831	36.9788961039	2324.63666123	4	0	0					
 C08	1	0	2370	9.01097046414	0.244303797468	0.00310050262358	0.000313856128116	982.722494916	623	0.128139746263	329.01343006	37.3242375602	2073.68002963	4	0	0					
 C09	1	0	2299	10.4010439321	0.310569812962	0.00394967544415	0.000405086263592	987.82311644	777	0.126753289837	370.685936414	33.9601029601	2370.94922429	4	0	0					
 C10	1	0	2255	9.95654101996	0.259423503326	0.00326566270574	0.000332484988617	955.047875291	645	0.125210470638	306.776934627	38.888372093	2025.52349248	4	0	0					
 C11	1	0	2169	8.61595205164	0.254495159059	0.00287867940747	0.000320182755478	1014.45435938	618	0.125535212799	352.571483414	33.998381877	2402.71152956	4	0	0					
 C12	1	0	2308	10.4887348354	0.298960138648	0.00327014754864	0.000378806432678	974.672822821	738	0.122893022836	304.945867286	35.4512195122	2127.20172876	4	0	0					
 C13	1	0	1552	8.23131443299	0.228092783505	0.00335252197853	0.000290642729917	1027.13915861	390	0.130786607707	434.36803303	36.7538461538	2589.52780219	3	0	0					
 C14	1	0	2408	9.82392026578	0.269102990033	0.00342018350727	0.000357822035982	950.662873707	693	0.124337088845	290.829382452	36.6219336219	1924.1287637	4	0	0					
 C15	1	0	2273	11.0690717114	0.325560932688	0.00293196300264	0.000385689273712	927.819811681	795	0.116249191673	239.151579188	34.1886792453	1790.83970021	4	0	0					
 C16	1	0	2278	8.70149253731	0.262071992976	0.00295392737342	0.000357911850524	947.348985792	653	0.12195851798	286.636152487	33.3736600306	1889.440971	4	0	0					
 C17	1	0	2366	7.90067624683	0.229923922232	0.00254186518567	0.000291811591092	1160.81296832	582	0.12416163906	327.404604569	34.3608247423	2289.58131441	4	0	0					
 C18	1	0	2392	9.01254180602	0.255434782609	0.00333531174995	0.000341967653924	959.45556389	655	0.127225899061	295.333041315	35.427480916	1925.71834323	4	0	0					
 C19	1	0	2455	9.57963340122	0.271690427699	0.00302694174833	0.000366598972956	954.077208068	721	0.120732948351	284.643753576	35.613037448	1988.33925162	4	0	0					
 C20	1	0	2370	8.14852320675	0.244303797468	0.00303646290134	0.000329666022977	984.329498748	637	0.122717877177	344.245392008	33.7739403454	2212.68545485	4	0	0					
 C21	1	0	2255	7.69578713969	0.250997782705	0.00233899995352	0.0003344185278	931.233246159	611	0.120245409927	237.963488531	31.2913256956	1749.56046081	4	0	0					
 C22	1	0	2182	9.23327222731	0.301099908341	0.00340271722958	0.000402506793005	962.862218074	716	0.128640682846	311.279016513	30.6410614525	2025.31384214	4	0	0					
 C23	1	0	1855	140.250673854	5.68301886792	0.0732209159812	0.00890967423693	2177.50426725	11465	0.15724261648	660.526591579	24.8141299608	3918.69178816	4	0	0					
 C24	1	0	2359	9.46375582874	0.284442560407	0.00296737026771	0.000346915856828	940.773588002	732	0.120878329561	302.910892754	33.6147540984	1962.20051612	4	0	0					
 D01	1	0	2330	108.591845494	4.47811158798	0.0525935046844	0.0067209773239	2137.63587704	11442	0.150022245388	670.411747125	24.534871526	4132.03701719	4	0	0					
 D02	1	0	2437	85.933114485	4.02708247846	0.0319195951603	0.00579736451153	1420.2568253	10650	0.14111134903	372.606319822	21.4679812207	2465.0341715	4	0	0					
 D03	1	0	2352	9.01147959184	0.277210884354	0.00292471776559	0.000347768816931	958.318299195	704	0.125844102504	290.205893975	33.0085227273	1935.38639751	4	0	0					
 D04	1	0	2351	9.53721820502	0.274351339855	0.00329112633717	0.000357674340376	957.467033852	688	0.124834097387	307.668781557	34.9709302326	2052.41731503	4	0	0					
 D05	1	0	2542	13.333595594	0.411880409127	0.00466507918713	0.000534260576917	1018.43872674	1117	0.122973669444	306.131111339	33.1665174575	2062.1020146	4	0	0					
 D06	1	0	2349	11.1979565773	0.310344827586	0.00404599561911	0.000394950670829	981.211825584	783	0.129884579876	366.306049669	36.3614303959	2298.62957415	4	0	0					
 D07	1	0	2097	9.03195040534	0.230329041488	0.00342348520865	0.000275454664462	912.901107737	531	0.134905804276	353.267817271	39.2184557439	2049.87495686	4	0	0					
 D08	1	0	1189	44.2304457527	1.74684608915	0.0096322049681	0.000796788585911	1165.73903349	2935	0.143855312335	917.614278021	23.7008517888	5728.47985331	4	0	0					
