Database Name	Phenix ODA 2																				
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx																				
Evaluation Signature	d1f3a05a-6c3e-4ca7-ae38-6be44eaee441																				
Plate Name	P102902																				
Measurement	Measurement 1																				
Evaluation	Evaluation1																				
																					
[Data]																					
Row	Column	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count
2	18	1	0	2235	9.284116331	0.301118568	0.003466333	0.000365697	961.7310463	727	0.12532086	315.601813	30.76753783	2048.096019	4	0	0				
2	19	1	0	2061	8.083454634	0.282872392	0.002290914	0.000330068	926.4214424	620	0.119206411	228.6023059	28.78709677	1688.351981	4	0	0				
2	20	1	0	2065	7.525423729	0.250847458	0.002493922	0.000311568	981.5512824	577	0.119014705	289.2969509	30.16291161	1929.452963	4	0	0				
2	21	1	0	2103	7.612458393	0.242035188	0.002850058	0.000293508	997.9340499	545	0.123754298	315.4065454	32.22752294	2099.781387	4	0	0				
2	22	1	0	2079	10.61856662	0.345839346	0.004183711	0.00040769	982.0014336	777	0.130109941	361.9662711	31.48262548	2140.881797	4	0	0				
2	23	1	0	2113	89.88452437	3.951254141	0.031844023	0.005188674	1271.124714	9024	0.140597682	343.8482744	22.97174202	2260.844481	4	0	0				
2	24	1	0	2007	8.361235675	0.243647235	0.00334722	0.000294631	1229.468711	532	0.131031654	639.2544194	34.72368421	3846.270846	4	0	0				
3	1	1	0	2397	119.6458073	4.287859825	0.052487625	0.006012572	1593.197615	11034	0.149820518	487.9153381	28.18098604	2958.378729	4	0	0				
3	2	1	0	2479	8.473174667	0.269463493	0.002801912	0.000349574	923.0054678	716	0.120294358	249.7721114	31.68435754	1757.049286	4	0	0				
3	3	1	0	2572	10.73911353	0.367029549	0.003372412	0.000482303	931.7193973	1008	0.118958964	232.3802111	29.34821429	1719.715226	4	0	0				
3	4	1	0	2530	10.30079051	0.349011858	0.003474008	0.000457838	949.3429126	948	0.121441067	265.8038922	29.54852321	1823.397924	4	0	0				
3	5	1	0	2342	9.22587532	0.301024765	0.002842703	0.000384893	965.4268229	764	0.120256069	246.1723476	30.68586387	1736.08082	4	0	0				
3	6	1	0	2499	10.33413365	0.31532613	0.003507093	0.00040003	998.9414375	836	0.122523856	280.7805766	32.91267943	1902.728617	4	0	0				
3	7	1	0	2256	9.597517731	0.30141844	0.003585394	0.000373108	1036.400548	748	0.128020163	337.832686	32.43716578	2141.799032	4	0	0				
3	8	1	0	2384	9.710151007	0.317533557	0.003373939	0.000381861	995.8569643	800	0.125031362	306.7915312	30.79125	2000.493395	4	0	0				
3	9	1	0	2295	8.315904139	0.258823529	0.003107246	0.000318525	997.8189759	630	0.126466872	320.5015544	32.66666667	2062.533246	4	0	0				
3	10	1	0	2463	7.429151441	0.229801056	0.002535283	0.000297747	1067.300984	612	0.124571351	337.5816768	33.12091503	2260.905	4	0	0				
3	11	1	0	2443	10.27548097	0.36266885	0.003676807	0.000447354	997.8994471	938	0.126382486	340.7135193	28.20469083	2198.689011	4	0	0				
3	12	1	0	2305	8.568763557	0.29978308	0.002897343	0.000375003	1003.395387	735	0.124984313	284.3617563	28.77823129	1911.789597	4	0	0				
3	13	1	0	2250	9.728	0.280444444	0.003274053	0.000349162	1019.766968	671	0.124232733	310.8753376	35.04918033	2079.119976	4	0	0				
3	14	1	0	2227	11.33542883	0.378985182	0.003783252	0.000457639	1034.31712	909	0.124961704	332.3681834	30.07590759	2170.418331	4	0	0				
3	15	1	0	2296	8.970383275	0.270034843	0.00330008	0.000294963	1056.050697	663	0.129861861	409.6912211	33.55806938	2577.044076	4	0	0				
3	16	1	0	2216	8.025722022	0.261732852	0.002842864	0.000332534	1068.434248	609	0.122407055	326.391364	30.84400657	2281.451085	4	0	0				
3	17	1	0	2291	9.791793976	0.345700567	0.003073503	0.000427996	1007.105223	852	0.120064908	269.132986	28.68075117	1893.774135	4	0	0				
3	18	1	0	2259	8.420540062	0.267374945	0.002794883	0.000315011	1028.367084	643	0.126061875	315.9801959	31.71384137	1989.110422	4	0	0				
3	19	1	0	2323	8.338355575	0.288420146	0.002545168	0.000355685	948.9560656	711	0.118689591	268.4400614	29.27004219	1877.971569	4	0	0				
3	20	1	0	2377	6.159865377	0.183845183	0.00217384	0.0002357	968.6554695	465	0.135167809	341.7432853	33.69892473	2140.560511	4	0	0				
3	21	1	0	2064	11.52180233	0.409399225	0.003497044	0.000497202	923.1407566	922	0.118510302	251.1426698	28.36334056	1782.560511	4	0	0				
3	22	1	0	2147	11.05542618	0.367023754	0.003566754	0.000463302	872.0138065	869	0.12135592	225.1278554	30.33026467	1586.365902	4	0	0				
3	23	1	0	1863	73.34943639	2.944712829	0.02379312	0.003860559	1191.283843	6004	0.133927296	303.9877966	25.10009993	2083.624423	4	0	0				
3	24	1	0	1997	11.85428142	0.394091137	0.004002437	0.000471929	871.7031893	856	0.124671564	285.307131	30.27686916	1804.557324	4	0	0				
4	1	1	0	2448	104.9938725	4.023284314	0.040845977	0.005540732	1498.509911	10589	0.141917274	420.7903607	26.21021815	2740.897257	4	0	0				
4	2	1	0	2338	112.367408	4.470487596	0.046699069	0.006280449	1501.124585	11279	0.148054643	439.7561641	25.37450129	2729.068334	4	0	0				
4	3	1	0	2347	9.780570942	0.290157648	0.003198894	0.000368019	947.1060362	723	0.121278495	247.8528467	34.08852006	1744.381162	4	0	0				
4	4	1	0	2438	10.22067268	0.349056604	0.00308913	0.000432721	963.9152633	920	0.120439564	260.3434514	29.51413043	1823.499022	4	0	0				
4	5	1	0	2202	10.56357856	0.32061762	0.003560778	0.000410106	983.9419884	772	0.121843127	305.6174253	33.07124352	2032.749921	4	0	0				
4	6	1	0	2311	10.25054089	0.329294678	0.003586997	0.000405658	961.7660488	815	0.123070168	282.5009505	31.94355828	1855.920791	4	0	0				
4	7	1	0	2455	9.72790224	0.314460285	0.003297914	0.000380747	1007.887263	817	0.125565276	311.2934618	31.61933905	2019.822103	4	0	0				
4	8	1	0	2378	8.168208579	0.224978974	0.0039282	0.000295727	1050.185533	577	0.137051529	467.6329282	37.02772964	2586.201139	4	0	0				
4	9	1	0	2186	9.582799634	0.297804209	0.003016672	0.00035315	1015.841894	707	0.121387022	301.4389193	32.34229137	2101.508426	4	0	0				
4	10	1	0	2317	11.97194648	0.434613725	0.003871795	0.000541505	1002.783539	1075	0.120557341	276.0831901	27.49395349	1946.027111	4	0	0				
4	11	1	0	2199	95.66803092	4.178262847	0.035801431	0.005446936	1510.737829	9961	0.139938798	430.074543	23.06625841	2829.152216	4	0	0				
4	12	1	0	2281	8.388426129	0.272687418	0.002908076	0.000345423	1123.05776	694	0.125826247	334.2287266	31.83285303	2196.306106	4	0	0				
4	13	1	0	2220	8.806306306	0.261261261	0.003589978	0.000338037	1068.555202	635	0.131600016	383.7836215	34.11181102	2329.078985	4	0	0				
4	14	1	0	2266	9.865842895	0.359223301	0.003376001	0.000437075	985.9362769	866	0.122963692	286.9757603	27.65127021	1950.1489	4	0	0				
4	15	1	0	2300	8.785217391	0.27	0.003699554	0.000337777	1062.707888	667	0.127491847	373.8039935	33.38530735	2351.028553	4	0	0				
4	16	1	0	1663	26.14491882	0.944678292	0.008404694	0.001195287	1118.244492	1681	0.127445151	310.7639371	27.78941106	2166.260895	3	0	0				
4	17	1	0	2284	8.424255692	0.287215412	0.002862754	0.000340599	1019.583806	717	0.125724668	325.0808508	30.0237099	2072.065164	4	0	0				
4	18	1	0	2269	36.18642574	1.226972234	0.010097132	0.001579641	1107.484186	2997	0.118888244	239.9299716	29.88021355	1847.654316	4	0	0				
4	19	1	0	2246	39.59750668	1.631789849	0.012114875	0.002120988	1082.421078	3950	0.123960469	261.6898438	24.49037975	1919.785486	4	0	0				
4	20	1	0	2160	8.90787037	0.308333333	0.00306518	0.00037029	1034.885317	717	0.124535142	320.0774282	29.26778243	2039.78434	4	0	0				
4	21	1	0	2187	9.726566072	0.346593507	0.002923259	0.000417801	926.9235724	819	0.121684779	240.5183083	28.48107448	1704.382404	4	0	0				
4	22	1	0	1954	12.75127943	0.446264074	0.003793534	0.000530782	883.0713524	953	0.118012807	241.900646	28.7838405	1766.46811	4	0	0				
4	23	1	0	1909	92.57359874	3.687270822	0.030905174	0.00476281	1318.92995	7636	0.136172332	346.7116857	25.39798324	2358.726928	4	0	0				
4	24	1	0	1836	117.5669935	4.958605664	0.048474756	0.006510185	1450.939351	9917	0.149984747	426.92846	23.97277402	2619.94662	4	0	0				
5	1	1	0	2333	81.20402915	2.771538791	0.025368333	0.003452869	1288.063097	7156	0.128552879	320.1172998	29.68529905	2322.966036	4	0	0				
5	2	1	0	2163	119.1747573	5.119278779	0.055603667	0.007281756	1588.664173	11911	0.15360764	501.3097322	23.47561078	3004.015963	4	0	0				
5	3	1	0	2466	10.18694242	0.325223033	0.003955832	0.000437606	964.7845176	857	0.123620663	314.841129	31.61960327	2058.854991	4	0	0				
5	4	1	0	2335	10.11520343	0.361884368	0.003355343	0.000472964	932.7906294	909	0.120310284	247.696829	28.61716172	1728.23632	4	0	0				
5	5	1	0	2561	9.317454119	0.335025381	0.00319328	0.000436829	959.1657371	915	0.118274252	254.32693	28.12131148	1837.288098	4	0	0				
5	6	1	0	2425	7.819381443	0.229690722	0.002889588	0.000294706	1028.68087	611	0.125372861	362.586776	34.72340426	2244.670313	4	0	0				
5	7	1	0	2446	11.44603434	0.361815209	0.003830611	0.000463593	995.7427784	942	0.123994982	288.3365513	31.4596603	1972.570814	4	0	0				
5	8	1	0	2356	8.580220713	0.261035654	0.003061714	0.000334815	1047.903231	652	0.122426469	322.3835529	32.78067485	2150.462677	4	0	0				
5	9	1	0	2330	8.593562232	0.263948498	0.003020521	0.000341905	1052.177234	659	0.118051023	308.9788871	32.77086495	2173.640445	4	0	0				
5	10	1	0	2343	7.897994025	0.26845924	0.002691395	0.000320943	1010.039164	665	0.12024578	299.6322484	29.62857143	2002.706173	4	0	0				
5	11	1	0	2411	7.932393198	0.253007051	0.002913842	0.000319589	1088.879666	660	0.126676624	351.0869061	31.93030303	2285.651575	4	0	0				
5	12	1	0	2385	8.755974843	0.308176101	0.003037526	0.000366134	1071.001806	791	0.123476875	357.2090897	28.92793932	2269.268424	4	0	0				
5	13	1	0	2492	18.98354735	0.756019262	0.005343185	0.000978045	1096.171234	1984	0.117247661	239.2914524	25.42641129	1827.359525	4	0	0				
5	14	1	0	2410	12.79543568	0.445643154	0.004267151	0.000568421	1040.142027	1134	0.120415434	267.862953	29.18253968	1916.260868	4	0	0				
5	15	1	0	2384	10.14345638	0.365771812	0.003966902	0.000475515	1071.438198	945	0.126184807	410.7550498	27.97777778	2451.356248	4	0	0				
5	16	1	0	2406	9.061097257	0.320448878	0.003504142	0.000413908	1045.132224	837	0.122882244	341.6780523	28.69772999	2238.418443	4	0	0				
5	17	1	0	2357	8.922358931	0.320746712	0.00333628	0.000404079	1007.810076	821	0.126646158	360.7186705	28.22898904	2296.657428	4	0	0				
5	18	1	0	2268	75.02425044	3.134479718	0.026058328	0.00434525	1269.365899	7709	0.132699069	323.6417083	24.18471916	2245.460284	4	0	0				
5	19	1	0	1902	103.1351209	4.547844374	0.043847411	0.006217936	1389.329502	9236	0.148501672	431.7382404	22.83813339	2663.860722	4	0	0				
5	20	1	0	2307	10.12700477	0.349804941	0.003673296	0.000441781	962.3973068	855	0.120281766	304.5122987	29.64912281	2066.056055	4	0	0				
5	21	1	0	2243	9.283548819	0.341061079	0.003069116	0.000412166	925.5615013	820	0.119871268	262.8288005	27.82195122	1772.542123	4	0	0				
5	22	1	0	2323	12.37537667	0.440809298	0.003630149	0.000537533	911.7855238	1093	0.116900766	222.6651105	28.17383349	1640.305472	4	0	0				
5	23	1	0	2137	58.14833879	2.102012167	0.017925411	0.002724436	1236.220806	4861	0.122571136	288.7092577	27.93128986	2205.184874	4	0	0				
5	24	1	0	2012	76.88667992	3.435387674	0.023983747	0.004273261	1550.818902	7585	0.13440348	394.5762189	22.53684904	2722.865411	4	0	0				
6	1	1	0	2342	10.16567037	0.372758326	0.003049972	0.0004681	863.8451702	965	0.114496176	219.6342218	27.51088083	1617.169886	4	0	0				
6	2	1	0	2486	82.86202735	3.603781175	0.029609103	0.004913859	1258.598857	9814	0.139800936	347.4259389	23.05808029	2279.085671	4	0	0				
6	3	1	0	2398	9.866138449	0.333611343	0.002945032	0.000416538	914.2735363	861	0.118327192	242.1243525	29.78281069	1764.538517	4	0	0				
6	4	1	0	2539	11.44702639	0.404489957	0.003568793	0.000498839	945.2907996	1112	0.118799584	243.5526217	28.72302158	1731.725188	4	0	0				
6	5	1	0	2332	10.23885077	0.347341338	0.003675307	0.000436792	1001.208446	868	0.128675993	339.4898854	29.47926267	2048.936246	4	0	0				
6	6	1	0	2418	9.225392887	0.26344086	0.002809365	0.000338517	996.8194688	679	0.119307734	293.1397389	35.71575847	2041.987731	4	0	0				
6	7	1	0	2354	9.163976211	0.316907392	0.00351242	0.000394189	1031.007175	819	0.125784396	341.6154428	29.4041514	2142.390945	4	0	0				
6	8	1	0	2329	8.824388149	0.290682696	0.003028642	0.000367259	1037.878788	737	0.121928358	304.4126179	30.46947083	2057.895652	4	0	0				
6	9	1	0	2287	9.738522081	0.33187582	0.002600259	0.000386567	1029.326799	804	0.115804178	250.3489788	29.54975124	1905.76592	4	0	0				
6	10	1	0	2389	9.525742989	0.300962746	0.003496573	0.00037189	1058.723993	785	0.12507623	366.5352093	31.57707006	2347.612374	4	0	0				
6	11	1	0	2328	7.189862543	0.240120275	0.002120147	0.000304789	1081.786062	602	0.118622972	268.0894888	29.91860465	1955.878283	4	0	0				
6	12	1	0	2115	8.700236407	0.259574468	0.002993141	0.000309334	1047.547677	597	0.123717029	324.6114837	33.44723618	2195.544352	4	0	0				
6	13	1	0	2420	11.3177686	0.397933884	0.003820189	0.000483542	1062.432714	1041	0.120299171	313.1866336	28.70220941	2169.204524	4	0	0				
6	14	1	0	2263	10.74281927	0.372956253	0.003049035	0.000405626	1076.306786	907	0.119951894	330.1464421	28.86879824	2251.963632	4	0	0				
6	15	1	0	2365	10.87526427	0.389852008	0.003479666	0.000465018	1027.889716	1008	0.119826813	300.7483011	28.53472222	2070.08437	4	0	0				
6	16	1	0	2408	9.745016611	0.339285714	0.003393085	0.000411145	1035.376441	870	0.120622714	324.9297094	28.92758621	2227.093228	4	0	0				
6	17	1	0	2393	11.8040117	0.384872545	0.00376557	0.000502584	1077.250699	994	0.12002064	311.5419838	30.86519115	2186.342786	4	0	0				
6	18	1	0	2274	9.222515391	0.339929639	0.002628561	0.000421231	994.7254834	829	0.116950233	240.2775485	27.10735826	1780.674317	4	0	0				
6	19	1	0	2274	8.038698329	0.275725594	0.00253845	0.000358068	971.2787636	672	0.11764999	258.3511854	29.19196429	1890.358862	4	0	0				
6	20	1	0	2259	10.62815405	0.395307658	0.002829234	0.000433442	953.084791	968	0.114068806	217.7095508	27.04028926	1634.187086	4	0	0				
6	21	1	0	2101	13.36078058	0.461684912	0.004058141	0.000578763	970.4399485	1056	0.119886757	259.9744248	29.19128788	1873.426149	4	0	0				
6	22	1	0	2211	9.634102216	0.353233831	0.002863964	0.000444083	900.221002	851	0.117316896	215.6389145	27.47356052	1611.537802	4	0	0				
6	23	1	0	2016	8.608134921	0.279265873	0.002482462	0.000341598	928.3732547	607	0.116696267	234.2105349	31.12355848	1700.863671	4	0	0				
6	24	1	0	1909	72.05290728	2.974855946	0.022895373	0.003743907	1442.045227	6157	0.134089518	368.6664995	24.45574143	2544.594033	4	0	0				
7	1	1	0	2135	13.53255269	0.403747073	0.005582983	0.000501394	1006.573143	931	0.130688893	406.3098437	33.74113856	2516.233221	4	0	0				
7	2	1	0	2120	143.5396226	5.630188679	0.083468741	0.008156758	2660.5845	12769	0.164434276	947.4357863	25.75980891	5365.051055	4	0	0				
7	3	1	0	2170	15.75852535	0.565898618	0.005028085	0.000719923	910.072978	1314	0.11676923	227.3120584	27.71385084	1677.742412	4	0	0				
7	4	1	0	2409	9.137816521	0.263594853	0.002841783	0.000335256	945.8184153	697	0.120735678	249.683569	34.87804878	1727.916896	4	0	0				
7	5	1	0	2307	10.0827915	0.342436064	0.002959743	0.000426752	927.7762519	861	0.11567968	228.048339	29.45296167	1694.63752	4	0	0				
7	6	1	0	2413	10.04890178	0.305014505	0.003237678	0.000360505	977.753296	785	0.122152117	292.6753641	32.72866242	1979.301642	4	0	0				
7	7	1	0	2353	10.59711007	0.373140671	0.003171695	0.000440932	1000.146862	934	0.118525696	257.5468035	28.26659529	1849.808907	4	0	0				
7	8	1	0	2278	9.982879719	0.366110623	0.003486511	0.000449413	1002.555674	926	0.121583973	297.0061192	27.97300216	1947.189242	4	0	0				
7	9	1	0	1813	115.161059	4.480970767	0.056429703	0.007232751	1800.667491	8809	0.150702549	545.2776177	25.86491089	3301.778679	4	0	0				
7	10	1	0	2257	9.406734603	0.324324324	0.003097022	0.000409111	1007.548683	779	0.121433816	288.0031469	29.11681643	2002.2967	4	0	0				
7	11	1	0	2404	19.14434276	0.677620632	0.005896434	0.000909995	1106.687819	1741	0.116620904	262.908508	28.28546812	1977.540966	4	0	0				
7	12	1	0	2290	11.32358079	0.371179039	0.003847259	0.000420967	1040.616603	915	0.127218514	355.3719064	30.73224044	2335.145539	4	0	0				
7	13	1	0	2328	9.676116838	0.307560137	0.003164278	0.000363481	1088.557358	764	0.123989934	344.3245641	31.80235602	2221.88628	4	0	0				
7	14	1	0	2387	9.865521575	0.33640553	0.003276732	0.000399464	1041.129645	854	0.122181751	318.6675732	29.38641686	2114.4718	4	0	0				
7	15	1	0	2292	9.811954625	0.327661431	0.002902639	0.000370944	986.8863009	812	0.118811679	258.5810881	29.99261084	1839.019854	4	0	0				
7	16	1	0	2314	10.21045808	0.403630078	0.003498492	0.000502171	1033.65821	1004	0.121332701	315.7811992	25.74501992	2122.45158	4	0	0				
7	17	1	0	2276	9.142794376	0.335676626	0.003077055	0.0004187	1020.740989	820	0.123821566	310.8458229	27.35	2023.305103	4	0	0				
7	18	1	0	2360	10.30550847	0.341525424	0.003561508	0.000411658	1007.922888	870	0.124838569	331.8388431	30.55632184	2033.400589	4	0	0				
7	19	1	0	2486	8.473049075	0.282783588	0.002990216	0.000366858	996.8285538	767	0.120943836	303.4697163	30.30247718	2023.194529	4	0	0				
7	20	1	0	2375	8.272842105	0.280842105	0.003097005	0.000348121	924.4706096	728	0.123849595	313.7780522	29.80082418	1981.375425	4	0	0				
7	21	1	0	2061	76.26831635	3.01795245	0.025255257	0.004040432	1213.12628	6733	0.131013923	304.723418	25.44125947	2154.612182	4	0	0				
7	22	1	0	2250	10.944	0.417333333	0.003243576	0.000507747	906.2005637	1000	0.11793147	262.7091853	26.406	1891.96124	4	0	0				
7	23	1	0	1941	9.907779495	0.350334879	0.00342348	0.000451446	921.2025836	732	0.120028047	261.6650636	28.28688525	1780.625363	4	0	0				
7	24	1	0	2245	103.1447661	4.915812918	0.037066387	0.006344014	1293.79911	11795	0.141938826	359.0947184	21.19660873	2351.836119	4	0	0				
8	1	1	0	2423	11.03879488	0.356170037	0.003751185	0.000451382	872.3005	925	0.121779693	259.5635775	31.36216216	1713.456346	4	0	0				
8	2	1	0	2386	44.52808047	1.505029338	0.012723818	0.001954671	1109.578561	3861	0.119815295	253.7884985	29.81740482	1961.978619	4	0	0				
