Well,Plane,Timepoint,Cell Selected - Number of Objects,Cell Selected - Total Spot Area - Mean per Well,Cell Selected - Number of Spots - Mean per Well,Cell Selected - Relative Spot Intensity - Mean per Well,Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well,Cell Selected - Intensity Cytoplasm Mean - Mean per Well,Spots Selected - Number of Objects,Spots Selected - Relative Spot  Intensity - Mean per Well,Spots Selected - Corrected Spot  Intensity - Mean per Well,Spots Selected - Spot Area [px²] - Mean per Well,Spots Selected - Intensity Spot Mean - Mean per Well,Number of Analyzed Fields,Height [µm],Time [s],Compound,Concentration,Cell Type,Cell Count,
O23,1,0,2043,8.84385707293,0.255017131669,0.00248049842674,0.000323811401631,951.849652217,569,0.121835239198,248.930710815,34.5676625659,1835.50109309,4,0,0,,,,,
O24,1,0,2122,109.220546654,4.63666352498,0.0508854718527,0.00664265156084,2100.18776324,10609,0.149684089179,659.750920942,23.8401357338,4095.57702979,4,0,0,,,,,
P01,1,0,2161,9.48681166127,0.23877834336,0.0030223995289,0.000301509644359,992.567864184,575,0.124505401433,309.717598095,39.9304347826,2043.2268011,4,0,0,,,,,
P02,1,0,1950,45.2158974359,1.42358974359,0.0128674397474,0.00186578679342,1160.24851931,3019,0.121262286684,256.948900409,31.940046373,2005.3751659,4,0,0,,,,,
P03,1,0,1824,126.473135965,5.00657894737,0.068952394445,0.00754191778884,2066.01950658,9865,0.160704368177,731.391842558,25.3749619868,4236.38192643,4,0,0,,,,,
P04,1,0,2101,11.7177534507,0.366968110424,0.00406551962513,0.000469160163803,997.437188101,836,0.124717200479,337.125219148,32.2715311005,2278.14789363,4,0,0,,,,,
P05,1,0,2101,8.45454545455,0.245597334603,0.00241210844271,0.000303325848421,963.893753001,554,0.120608648922,246.400200178,34.6173285199,1773.00200514,4,0,0,,,,,
P06,1,0,2252,7.493339254,0.201598579041,0.00226268591004,0.000285305741378,987.129262793,476,0.119768882861,252.543390582,37.1008403361,1844.07434821,4,0,0,,,,,
P07,1,0,2100,7.45285714286,0.198095238095,0.00254716575026,0.000244947982913,999.915347529,449,0.123088468626,346.565600967,38.1091314031,2198.57294234,4,0,0,,,,,
P08,1,0,1965,7.36539440204,0.182188295165,0.0023867586068,0.000232527544144,1019.211755,392,0.124213620748,322.04889007,40.068877551,2136.77933994,4,0,0,,,,,
