Well,Plane,Timepoint,Cell Selected - Number of Objects,Cell Selected - Total Spot Area - Mean per Well,Cell Selected - Number of Spots - Mean per Well,Cell Selected - Relative Spot Intensity - Mean per Well,Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well,Cell Selected - Intensity Cytoplasm Mean - Mean per Well,Spots Selected - Number of Objects,Spots Selected - Relative Spot  Intensity - Mean per Well,Spots Selected - Corrected Spot  Intensity - Mean per Well,Spots Selected - Spot Area [px²] - Mean per Well,Spots Selected - Intensity Spot Mean - Mean per Well,Number of Analyzed Fields,Height [µm],Time [s],Compound,Concentration,Cell Type,Cell Count,
A01,1,0,1906,64.5325288562,2.19202518363,0.0177373631328,0.00277589203975,1677.69194137,4624,0.129198898675,389.339377668,29.5655276817,2780.39410966,4,0,0,,,,,
A02,1,0,2033,13.4348253812,0.451549434333,0.0044441640742,0.00054824312995,1005.44366548,971,0.124687378321,301.867744278,29.683831102,2086.93245352,4,0,0,,,,,
A03,1,0,2222,10.6494149415,0.298379837984,0.0033385189716,0.000409004403436,1194.84613815,705,0.119991634434,305.234074022,35.9588652482,2228.86867861,4,0,0,,,,,
A04,1,0,2240,7.12946428571,0.233035714286,0.00249841357641,0.000290320455653,1209.77823347,563,0.124265416285,403.325638056,30.674955595,2603.9182444,4,0,0,,,,,
A05,1,0,2280,9.69824561404,0.301754385965,0.00333221209007,0.00038307173934,1005.96665474,750,0.125543606497,294.15195768,32.472,2035.56450232,4,0,0,,,,,
A06,1,0,2084,14.1381957774,0.445777351248,0.0036475706808,0.0005454476549,1080.46041572,1004,0.117382682733,248.814498136,31.8545816733,1933.01516412,4,0,0,,,,,
A07,1,0,2064,8.35804263566,0.25242248062,0.00269343754911,0.00032274169576,1374.66210182,577,0.122480035161,370.924966289,33.3760831889,2634.31035508,4,0,0,,,,,
A08,1,0,2174,10.6807727691,0.341306347746,0.0028782186778,0.000381201318026,1060.55955994,804,0.121242862662,280.041940161,31.5634328358,2038.39539602,4,0,0,,,,,
A09,1,0,2229,7.56078959175,0.224764468371,0.00269545658259,0.000299066362206,1064.72943156,552,0.12989139048,321.396092302,33.6141304348,2169.69759494,4,0,0,,,,,
A10,1,0,2182,8.05132905591,0.236938588451,0.00317444729935,0.000298790717469,1192.07793084,560,0.132122497197,478.654146433,34.6607142857,2928.08374668,4,0,0,,,,,
