plate	well	raw_data	type
P102534	K04	6951	Data
P102534	K05	6827	Data
P102534	K07	6572	Data
P102534	K08	8848	Data
P102534	K09	7987	Data
P102534	K10	5979	Data
P102534	K11	8073	Data
P102534	K12	7134	Data
P102534	K15	7612	Data
P102534	K16	7049	Data
P102534	K17	8459	Data
P102534	K19	13203	Data
P102534	K20	6482	Data
P102534	K21	9768	Data
P102534	K22	7558	Data
P102534	K23	12888	Data
P102534	L01	5451	Neg
P102534	L02	6165	Data
P102534	L03	7688	Data
P102534	L04	5794	Data
P102534	L05	6856	Data
P102534	L06	5963	Data
P102534	L07	6953	Data
P102534	L08	7440	Data
P102534	L09	5767	Data
P102534	L10	7550	Data
P102534	L11	7121	Data
P102534	L12	7120	Data
P102534	L13	6750	Neg
P102534	L14	7963	Data
P102534	L15	6630	Data
P102534	L17	8120	Data
P102534	L18	6691	Data
P102534	L19	7128	Data
P102534	L20	8675	Data
P102534	L21	7426	Data
P102534	L22	8147	Data
P102534	L23	7128	Data
P102534	L24	7448	Neg
P102534	M01	856	Pos
P102534	M02	8481	Data
P102534	M03	7828	Data
P102534	M04	8160	Data
P102534	M05	9073	Data
P102534	M06	6943	Data
P102534	M07	7914	Data
P102534	M08	7488	Data
P102534	M09	6585	Data
P102534	M10	5677	Data
P102534	M11	8340	Data
P102534	M12	11956	Data
P102534	M13	415	Pos
P102534	M14	7782	Data
P102534	M15	9428	Data
P102534	M16	8663	Data
P102534	M18	7110	Data
P102534	M19	6375	Data
P102534	M20	6710	Data
P102534	M21	7725	Data
P102534	M22	7409	Data
P102534	M23	8028	Data
P102534	M24	910	Pos
P102534	N01	4931	Neg
P102534	N02	6363	Data
P102534	N03	5296	Data
P102534	N04	5664	Data
P102534	N05	7119	Data
P102534	N06	5920	Data
P102534	N07	11740	Data
P102534	N08	7380	Data
P102534	N09	5262	Data
P102534	N10	8024	Data
P102534	N11	6661	Data
P102534	N12	7662	Data
P102534	N13	6859	Neg
P102534	N14	3771	Data
P102534	N15	12827	Data
P102534	N16	7406	Data
P102534	N17	6948	Data
P102534	N18	7070	Data
P102534	N19	6490	Data
P102534	N20	5273	Data
P102534	N21	6854	Data
P102534	N22	8511	Data
P102534	N23	7423	Data
P102534	N24	6210	Neg
P102534	O02	13339	Data
P102534	O03	6406	Data
P102534	O04	6127	Data
P102534	O05	8108	Data
P102534	O06	9446	Data
P102534	O07	7339	Data
P102534	O08	8686	Data
P102534	O09	6748	Data
P102534	O10	5925	Data
P102534	O11	8738	Data
P102534	O12	8239	Data
P102534	O14	7228	Data
P102534	O15	7784	Data
P102534	O16	7834	Data
P102534	O21	7172	Data
P102534	O22	8477	Data
P102534	O23	8203	Data
P102534	P01	4081	Neg
P102534	P02	7873	Data
P102534	P03	5906	Data
P102534	P04	5998	Data
P102534	P05	7508	Data
P102534	P06	8673	Data
P102534	P07	6020	Data
P102534	P08	6547	Data
P102534	P09	4773	Data
