,,,PltRpt=1 Group=1 LUM 01sec(1) De=1st Ex=N/A Em=Top Wdw=N/A,,,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,,
1,,E24,83600,8360,0.1,00:00:23.071,,
1,,F01,80920,8092,0.1,00:00:27.735,,
1,,F02,89680,8968,0.1,00:00:27.543,,
1,,F03,81200,8120,0.1,00:00:27.351,,
1,,F04,82600,8260,0.1,00:00:27.160,,
1,,F05,81160,8116,0.1,00:00:26.968,,
1,,F06,81600,8160,0.1,00:00:26.776,,
1,,F07,86800,8680,0.1,00:00:26.584,,
1,,F08,86160,8616,0.1,00:00:26.392,,
1,,F09,89120,8912,0.1,00:00:26.200,,
1,,F10,86520,8652,0.1,00:00:26.008,,
1,,F11,84800,8480,0.1,00:00:25.817,,
1,,F12,83800,8380,0.1,00:00:25.626,,
1,,F13,77240,7724,0.1,00:00:25.434,,
1,,F14,88200,8820,0.1,00:00:25.243,,
1,,F15,90400,9040,0.1,00:00:25.052,,
1,,F16,87680,8768,0.1,00:00:24.860,,
1,,F17,84800,8480,0.1,00:00:24.668,,
1,,F18,85680,8568,0.1,00:00:24.476,,
1,,F19,86360,8636,0.1,00:00:24.285,,
1,,F20,84440,8444,0.1,00:00:24.093,,
1,,F21,84280,8428,0.1,00:00:23.901,,
1,,F22,87320,8732,0.1,00:00:23.709,,
1,,F23,720,72,0.1,00:00:23.518,,
1,,F24,86440,8644,0.1,00:00:23.326,,
1,,G01,87720,8772,0.1,00:00:27.990,,
1,,G02,89040,8904,0.1,00:00:28.182,,
1,,G03,83680,8368,0.1,00:00:28.373,,
1,,G04,79920,7992,0.1,00:00:28.566,,
1,,G05,83040,8304,0.1,00:00:28.757,,
1,,G06,88360,8836,0.1,00:00:28.949,,
1,,G07,89320,8932,0.1,00:00:29.141,,
1,,G08,87360,8736,0.1,00:00:29.332,,
1,,G09,90360,9036,0.1,00:00:29.524,,
1,,G10,86240,8624,0.1,00:00:29.715,,
1,,G11,80680,8068,0.1,00:00:29.907,,
1,,G12,87520,8752,0.1,00:00:30.099,,
1,,G13,85200,8520,0.1,00:00:30.292,,
1,,G14,85960,8596,0.1,00:00:30.484,,
1,,G15,86080,8608,0.1,00:00:30.676,,
1,,G16,77440,7744,0.1,00:00:30.868,,
1,,G17,79880,7988,0.1,00:00:31.060,,
1,,G18,82280,8228,0.1,00:00:31.251,,
1,,G19,81160,8116,0.1,00:00:31.443,,
1,,G20,77960,7796,0.1,00:00:31.635,,
1,,G21,82640,8264,0.1,00:00:31.827,,
1,,G22,86120,8612,0.1,00:00:32.019,,
1,,G23,840,84,0.1,00:00:32.211,,
1,,G24,75880,7588,0.1,00:00:32.403,,
1,,H01,86000,8600,0.1,00:00:37.068,,
1,,H02,87200,8720,0.1,00:00:36.876,,
1,,H03,78760,7876,0.1,00:00:36.684,,
1,,H04,86080,8608,0.1,00:00:36.493,,
1,,H05,80560,8056,0.1,00:00:36.301,,
1,,H06,86400,8640,0.1,00:00:36.109,,
1,,H07,88760,8876,0.1,00:00:35.917,,
1,,H08,89880,8988,0.1,00:00:35.725,,
1,,H09,84480,8448,0.1,00:00:35.533,,
1,,H10,87800,8780,0.1,00:00:35.341,,
1,,H11,79000,7900,0.1,00:00:35.149,,
1,,H12,83280,8328,0.1,00:00:34.958,,
1,,H13,80600,8060,0.1,00:00:34.766,,
1,,H14,86120,8612,0.1,00:00:34.575,,
1,,H15,81840,8184,0.1,00:00:34.384,,
1,,H16,83000,8300,0.1,00:00:34.193,,
1,,H17,85880,8588,0.1,00:00:34.001,,
1,,H18,79360,7936,0.1,00:00:33.809,,
1,,H19,82400,8240,0.1,00:00:33.617,,
1,,H20,89440,8944,0.1,00:00:33.426,,
1,,H21,85440,8544,0.1,00:00:33.234,,
1,,H22,83200,8320,0.1,00:00:33.042,,
1,,H23,800,80,0.1,00:00:32.850,,
1,,H24,84680,8468,0.1,00:00:32.659,,
1,,I01,88560,8856,0.1,00:00:37.323,,
1,,I02,86200,8620,0.1,00:00:37.514,,
1,,I03,91360,9136,0.1,00:00:37.705,,
1,,I04,89440,8944,0.1,00:00:37.897,,
1,,I05,77320,7732,0.1,00:00:38.089,,
1,,I06,87480,8748,0.1,00:00:38.281,,
1,,I07,84280,8428,0.1,00:00:38.473,,
1,,I08,84680,8468,0.1,00:00:38.665,,
1,,I09,86320,8632,0.1,00:00:38.856,,
1,,I10,86400,8640,0.1,00:00:39.048,,
1,,I11,81320,8132,0.1,00:00:39.239,,
1,,I12,85040,8504,0.1,00:00:39.431,,
1,,I13,85480,8548,0.1,00:00:39.623,,
1,,I14,85920,8592,0.1,00:00:39.815,,
1,,I15,87720,8772,0.1,00:00:40.008,,
1,,I16,84200,8420,0.1,00:00:40.200,,
1,,I17,82880,8288,0.1,00:00:40.392,,
1,,I18,85360,8536,0.1,00:00:40.584,,
1,,I19,83640,8364,0.1,00:00:40.775,,
1,,I20,87640,8764,0.1,00:00:40.967,,
1,,I21,85680,8568,0.1,00:00:41.159,,
1,,I22,83440,8344,0.1,00:00:41.351,,
1,,I23,920,92,0.1,00:00:41.543,,
1,,I24,87040,8704,0.1,00:00:41.735,,
1,,J01,78520,7852,0.1,00:00:46.399,,
1,,J02,87880,8788,0.1,00:00:46.207,,
1,,J03,86960,8696,0.1,00:00:46.015,,
1,,J04,76640,7664,0.1,00:00:45.823,,
1,,J05,80840,8084,0.1,00:00:45.631,,
1,,J06,83080,8308,0.1,00:00:45.439,,
1,,J07,84400,8440,0.1,00:00:45.247,,
1,,J08,86600,8660,0.1,00:00:45.055,,
1,,J09,88280,8828,0.1,00:00:44.863,,
1,,J10,85680,8568,0.1,00:00:44.671,,
1,,J11,88400,8840,0.1,00:00:44.479,,
1,,J12,79800,7980,0.1,00:00:44.287,,
1,,J13,88520,8852,0.1,00:00:44.095,,
1,,J14,89320,8932,0.1,00:00:43.904,,
1,,J15,87760,8776,0.1,00:00:43.713,,
1,,J16,90920,9092,0.1,00:00:43.522,,
1,,J17,70840,7084,0.1,00:00:43.331,,
1,,J18,81280,8128,0.1,00:00:43.140,,
1,,J19,87560,8756,0.1,00:00:42.948,,
1,,J20,85280,8528,0.1,00:00:42.757,,
1,,J21,84720,8472,0.1,00:00:42.565,,
1,,J22,86080,8608,0.1,00:00:42.373,,
1,,J23,1000,100,0.1,00:00:42.181,,
1,,J24,80280,8028,0.1,00:00:41.990,,
1,,K01,89400,8940,0.1,00:00:46.657,,
1,,K02,93960,9396,0.1,00:00:46.849,,
1,,K03,81680,8168,0.1,00:00:47.040,,
