
,,PltRpt=1 Group=1 LUM 01sec(1) De=1st Ex=N/A Em=Top Wdw=N/A,,
Plate,Well,CalcResult,Signal,
1,K23,840,84,
1,K24,84440,8444,
1,L01,84560,8456,
1,L02,85920,8592,
1,L03,81160,8116,
1,L04,75120,7512,
1,L05,82120,8212,
1,L06,81800,8180,
1,L07,92960,9296,
1,L08,90920,9092,
1,L09,90440,9044,
1,L10,85240,8524,
1,L11,77560,7756,
1,L12,84080,8408,
1,L13,87640,8764,
1,L14,79440,7944,
1,L15,89360,8936,
1,L16,86440,8644,
1,L17,83920,8392,
1,L18,88360,8836,
1,L19,90160,9016,
1,L20,83200,8320,
1,L21,79800,7980,
1,L22,84400,8440,
1,L23,840,84,
1,L24,91280,9128,
1,M01,85680,8568,
1,M02,89960,8996,
1,M03,80960,8096,
1,M04,5400,540,
1,M05,84040,8404,
1,M06,86480,8648,
1,M07,76080,7608,
1,M08,84920,8492,
1,M09,89560,8956,
1,M10,82240,8224,
1,M11,80560,8056,
1,M12,84280,8428,
1,M13,81440,8144,
1,M14,80800,8080,
1,M15,87400,8740,
1,M16,87960,8796,
1,M17,86600,8660,
1,M18,72880,7288,
1,M19,81480,8148,
1,M20,82400,8240,
1,M21,82680,8268,
1,M22,83080,8308,
1,M23,960,96,
1,M24,81680,8168,
1,N01,83360,8336,
1,N02,84120,8412,
1,N03,82640,8264,
1,N04,88400,8840,
1,N05,84760,8476,
1,N06,84320,8432,
1,N07,81560,8156,
1,N08,87480,8748,
1,N09,81680,8168,
1,N10,81240,8124,
1,N11,79880,7988,
1,N12,78280,7828,
1,N13,90600,9060,
1,N14,80120,8012,
1,N15,81440,8144,
1,N16,89320,8932,
1,N17,82720,8272,
1,N18,80400,8040,
1,N19,81520,8152,
1,N20,77440,7744,
1,N21,79520,7952,
1,N22,82920,8292,
1,N23,840,84,
1,N24,80000,8000,
1,O01,82440,8244,
1,O02,90720,9072,
1,O03,86320,8632,
1,O04,82000,8200,
1,O05,82400,8240,
1,O06,80720,8072,
1,O07,78800,7880,
1,O08,89360,8936,
1,O09,85720,8572,
1,O10,82640,8264,
1,O11,82240,8224,
1,O12,78240,7824,
1,O13,79920,7992,
1,O14,84160,8416,
1,O15,79680,7968,
1,O16,85360,8536,
1,O17,83120,8312,
1,O18,83360,8336,
1,O19,73040,7304,
1,O20,79280,7928,
1,O21,82360,8236,
1,O22,75160,7516,
1,O23,840,84,
1,O24,86240,8624,
1,P01,83280,8328,
1,P02,83240,8324,
1,P03,95000,9500,
1,P04,82520,8252,
1,P05,74800,7480,
1,P06,80560,8056,
1,P07,42320,4232,
1,P08,66720,6672,
1,P09,79640,7964,
1,P10,71920,7192,
1,P11,76960,7696,
1,P12,76400,7640,
1,P13,77400,7740,
1,P14,76040,7604,
1,P15,79920,7992,
1,P16,81560,8156,
1,P17,77080,7708,
1,P18,74240,7424,
1,P19,81960,8196,
1,P20,81160,8116,
1,P21,80240,8024,
1,P22,83800,8380,
1,P23,520,52,
1,P24,76080,7608,
Plate information 
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Measurement date,
1,1,,14.91,22.32,22.44,25,25.1,22.81,22.74,12/13/2021 1:07:29 PM,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,LUM 01sec,0,0,0.1,00:00:00.000,De=1st Ex=N/A Em=Top Wdw=N/A,


Basic assay information 
Assay ID: ,,,,4534
Assay Started: ,,,,12/13/2021 1:06:11 PM
Assay Finished: ,,,,12/13/2021 1:07:37 PM
Assay Exported: ,,,,10/18/2023 9:14:45 AM
Protocol ID: ,,,,100289
Protocol Name: ,,,,Cell Titer Glo
Serial#: ,,,,1040940




Exported with EnVision Workstation version 1.12
