PlateNumber,Group,Well,Kinetic,MeasInfo,MeasTime,Signal,Flashes/Time,Result,
1,1,C12,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:11.442,8652,0.1,86520,
1,1,C13,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:11.634,8292,0.1,82920,
1,1,C14,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:11.825,8948,0.1,89480,
1,1,C15,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:12.017,7792,0.1,77920,
1,1,C16,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:12.209,8832,0.1,88320,
1,1,C17,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:12.401,6804,0.1,68040,
1,1,C18,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:12.593,9100,0.1,91000,
1,1,C19,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:12.785,8008,0.1,80080,
1,1,C20,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:12.977,9400,0.1,94000,
1,1,C21,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:13.169,9072,0.1,90720,
1,1,C22,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:13.360,8112,0.1,81120,
1,1,C23,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:13.551,84,0.1,840,
1,1,C24,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:13.742,8364,0.1,83640,
1,1,D01,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:18.406,8556,0.1,85560,
1,1,D02,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:18.214,8876,0.1,88760,
1,1,D03,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:18.023,9100,0.1,91000,
1,1,D04,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:17.831,9320,0.1,93200,
1,1,D05,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:17.640,8760,0.1,87600,
1,1,D06,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:17.448,8636,0.1,86360,
1,1,D07,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:17.256,9048,0.1,90480,
1,1,D08,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:17.064,8896,0.1,88960,
1,1,D09,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:16.872,8612,0.1,86120,
1,1,D10,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:16.681,8680,0.1,86800,
1,1,D11,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:16.490,8380,0.1,83800,
1,1,D12,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:16.299,8544,0.1,85440,
1,1,D13,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:16.108,7776,0.1,77760,
1,1,D14,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:15.916,9164,0.1,91640,
1,1,D15,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:15.724,9008,0.1,90080,
1,1,D16,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:15.532,8448,0.1,84480,
1,1,D17,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:15.340,8076,0.1,80760,
1,1,D18,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:15.149,8980,0.1,89800,
1,1,D19,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:14.957,8412,0.1,84120,
1,1,D20,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:14.765,8736,0.1,87360,
1,1,D21,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:14.573,8868,0.1,88680,
1,1,D22,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:14.382,9020,0.1,90200,
1,1,D23,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:14.189,88,0.1,880,
1,1,D24,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:13.997,9104,0.1,91040,
1,1,E01,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:18.660,8424,0.1,84240,
1,1,E02,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:18.852,8628,0.1,86280,
