User: USER	Path: C:\Program Files (x86)\BMG\SMART Control\User\Data	Test run no.: 121
Test name: TbMCA2_CBCS0551	Date: 2023-10-11	Time: 13:02:33

ID1: P102534	
Fluorescence (FI)

Well	Slope of range 2 based on Raw Data (355-15/460-20)	
O07	7339,18	
O08	8686,82	
O09	6748,22	
O10	5925,62	
O11	8738,51	
O12	8239,11	
O13	46,31	
O14	7228,53	
O15	7784,91	
O16	7834,35	
O17	7898,15	
O18	8201,60	
O19	7768,58	
O20	6804,67	
O21	7172,18	
O22	8477,00	
O23	8203,40	
O24	-101,22	
P01	4081,09	
P02	7873,78	
P03	5906,73	
P04	5998,07	
P05	7508,33	
P06	8673,02	
P07	6020,58	
P08	6547,76	
P09	4773,18	
P10	6645,95	
P11	9408,76	
P12	6725,05	
P13	7271,76	
P14	6965,65	
P15	8004,51	
P16	7500,13	
P17	5699,07	
P18	8857,71	
P19	7104,29	
P20	9798,09	
P21	8756,85	
P22	7840,24	
P23	7703,20	
P24	6622,42	
