User: USER	Path: C:\Program Files (x86)\BMG\SMART Control\User\Data	Test run no.: 122
Test name: TbMCA2_CBCS0551	Date: 2023-10-11	Time: 13:16:07

ID1: P102535	
Fluorescence (FI)

Well	Slope of range 2 based on Raw Data (355-15/460-20)	
A01	1075,78	
A02	15541,33	
A03	9905,85	
A04	8468,07	
A05	11181,56	
A06	11746,58	
A07	12332,71	
A08	12145,60	
A09	11231,75	
A10	8650,29	
A11	17302,51	
A12	15990,96	
A13	1018,47	
A14	12301,16	
A15	12797,49	
A16	9921,53	
A17	11367,31	
A18	11954,95	
A19	10441,65	
A20	9450,76	
A21	10788,55	
A22	11999,67	
A23	12539,62	
A24	768,87	
B01	5654,84	
B02	9323,22	
B03	8921,15	
B04	11711,93	
B05	9225,64	
B06	7718,62	
B07	8733,51	
B08	9261,76	
B09	10346,93	
B10	9740,38	
B11	17890,80	
B12	7808,71	
B13	8470,78	
B14	9935,33	
B15	11334,84	
B16	11552,36	
B17	11572,27	
B18	10350,07	
B19	8934,29	
B20	10900,53	
B21	16291,51	
B22	10908,95	
B23	9264,18	
B24	9740,16	
C01	-141,76	
C02	8693,15	
C03	13650,71	
C04	13266,20	
C05	12140,51	
C06	11008,69	
C07	10817,96	
C08	9629,47	
C09	7866,64	
C10	6850,84	
C11	10255,85	
C12	11929,35	
C13	-3,64	
C14	0	
C15	10845,91	
C16	11525,76	
C17	11606,29	
C18	11886,07	
C19	10111,02	
C20	10501,58	
C21	10373,16	
C22	10484,40	
C23	11348,91	
C24	-284,11	
D01	5633,29	
D02	6510,75	
D03	11245,65	
D04	10669,73	
D05	0	
D06	12732,62	
D07	11735,11	
D08	9661,20	
D09	8363,69	
D10	9121,53	
D11	11041,69	
D12	10460,73	
D13	9422,18	
D14	9347,55	
D15	8400,38	
D16	10234,80	
D17	9591,33	
D18	10521,82	
D19	6195,85	
D20	10183,42	
D21	10738,44	
D22	10255,05	
D23	11135,60	
D24	10993,31	
E01	643,31	
E02	9463,11	
E03	8557,85	
E04	9769,04	
E05	9157,38	
E06	13028,35	
E07	10778,71	
E08	10252,98	
E09	9880,93	
E10	6778,18	
E11	10398,00	
E12	11721,55	
